traderId,userName,firstName,lastName,initialCash,finalCash,60_9_initial,60_9_final,60_9_bought,60_9_sold,66_10_initial,66_10_final,66_10_bought,66_10_sold,72_1_initial,72_1_final,72_1_bought,72_1_sold,77_3First_initial,77_3First_final,77_3First_bought,77_3First_sold,77_3Second_initial,77_3Second_final,77_3Second_bought,77_3Second_sold,129_15_initial,129_15_final,129_15_bought,129_15_sold,144_14_initial,144_14_final,144_14_bought,144_14_sold,184_28First_initial,184_28First_final,184_28First_bought,184_28First_sold,184_28Second_initial,184_28Second_final,184_28Second_bought,184_28Second_sold,184_25_initial,184_25_final,184_25_bought,184_25_sold,219_24_initial,219_24_final,219_24_bought,219_24_sold,229_31_initial,229_31_final,229_31_bought,229_31_sold
420,Surfer21,,,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,Surfer22,,,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,Surfer2,,,25.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,8,0,0,8,0,0,0,0
423,Surfer10,,,25.0,29.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,4,0,0,0,0,4,2,0,2,0,0,0,0
424,Surfer1,,,25.0,29.6,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,4,0,0
425,Surfer20,,,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,0,0,0,0
426,Surfer11,,,25.0,22.8,0,1,1,0,4,0,0,4,4,6,2,0,0,0,0,0,0,0,1,1,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,1,1
427,Surfer12,,,25.0,25.0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
428,Surfer13,,,25.0,23.6,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,5,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0
429,Surfer14,,,25.0,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,2,4,3,1,2,0,0,2,2,0,0,0,0,0,11,12,1,0,0,0,0
430,Surfer15,,,25.0,25.8,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,1,1,0,1,1,0,0,0,0,0
431,Surfer16,,,25.0,33.8,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,2,4,2,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,Surfer17,,,25.0,26.35,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,1,0,4,0,0,4,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
433,Surfer18,,,25.0,28.7,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,5,5,0,0,1,2,1,0,2,2,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
434,Surfer19,,,25.0,25.0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0
435,Surfer7,,,25.0,24.2,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,4,0,0
436,Surfer8,,,25.0,25.25,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,4,0,0,0,0,0,1,1,0
437,Surfer9,,,25.0,27.1,4,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,8,3,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
438,Surfer3,,,25.0,21.8,0,1,1,0,0,0,0,0,8,6,0,2,0,0,0,0,0,0,0,0,0,4,4,0,0,1,1,0,0,1,1,0,0,2,2,0,0,2,2,0,0,0,0,0,4,0,0,4
439,Surfer4,,,25.0,20.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,1,1,0,0,0,0,0,0,7,7,0,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0
440,Surfer5,,,25.0,26.7,4,2,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
441,Surfer6,,,25.0,7.15,0,9,9,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,4,0,0,4,4,4,0,0,0,5,5,0,0,2,2,0,4,0,0,4,0,0,0,0

Market [60_9] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
441,,,buy,3060,424,,,sell,3023,2016-09-14 06:49:31.0,0.8,5
441,,,buy,3075,437,,,sell,3063,2016-09-14 06:50:05.0,0.8,1
424,,,sell,3096,441,,,buy,3082,2016-09-14 06:50:53.0,0.6,3
440,,,sell,3157,426,,,buy,3105,2016-09-14 06:52:59.0,0.7,1
438,,,buy,3225,440,,,sell,3206,2016-09-14 06:56:04.0,0.8,1

Market [66_10] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
441,,,buy,3057,431,,,sell,3037,2016-09-14 06:49:27.0,0.8,4
426,,,sell,3110,441,,,buy,3080,2016-09-14 06:51:25.0,0.65,1
426,,,sell,3113,441,,,buy,3080,2016-09-14 06:51:28.0,0.65,1
426,,,sell,3115,441,,,buy,3080,2016-09-14 06:51:32.0,0.65,1
426,,,sell,3118,437,,,buy,3070,2016-09-14 06:51:36.0,0.6,1

Market [72_1] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
438,,,sell,3027,426,,,buy,3014,2016-09-14 06:48:10.0,0.4,1
436,,,sell,3050,426,,,buy,3031,2016-09-14 06:49:00.0,0.6,1
432,,,buy,3249,438,,,sell,3166,2016-09-14 06:57:13.0,0.4,1

Market [77_3First] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units

Market [77_3Second] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
433,,,buy,3107,439,,,sell,3067,2016-09-14 06:51:12.0,0.3,1
431,,,buy,3114,439,,,sell,3067,2016-09-14 06:51:30.0,0.3,4
433,,,buy,3116,439,,,sell,3067,2016-09-14 06:51:36.0,0.3,3
433,,,buy,3126,431,,,sell,3117,2016-09-14 06:51:58.0,0.4,1
426,,,buy,3132,431,,,sell,3117,2016-09-14 06:52:11.0,0.4,1
426,,,sell,3137,430,,,buy,3122,2016-09-14 06:52:16.0,0.3,1

Market [129_15] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
438,,,buy,3039,431,,,sell,3022,2016-09-14 06:48:41.0,0.6,1
438,,,buy,3042,431,,,sell,3022,2016-09-14 06:48:49.0,0.6,3
426,,,buy,3081,431,,,sell,3049,2016-09-14 06:50:21.0,0.9,1
426,,,buy,3083,431,,,sell,3049,2016-09-14 06:50:24.0,0.9,1
426,,,buy,3084,431,,,sell,3049,2016-09-14 06:50:26.0,0.9,1
426,,,buy,3086,431,,,sell,3049,2016-09-14 06:50:29.0,0.9,1
426,,,sell,3144,439,,,buy,3097,2016-09-14 06:52:31.0,0.5,1
428,,,sell,3185,433,,,buy,3099,2016-09-14 06:54:13.0,0.3,1
428,,,sell,3189,433,,,buy,3102,2016-09-14 06:54:21.0,0.25,1
441,,,buy,3209,428,,,sell,3204,2016-09-14 06:55:20.0,0.6,3
441,,,buy,3211,433,,,sell,3207,2016-09-14 06:55:24.0,0.65,1
437,,,buy,3238,426,,,sell,3090,2016-09-14 06:56:41.0,0.95,1
440,,,sell,3242,437,,,buy,3212,2016-09-14 06:56:53.0,0.65,1
441,,,buy,3248,440,,,sell,3242,2016-09-14 06:57:13.0,0.6,2

Market [144_14] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
433,,,buy,3089,429,,,sell,3077,2016-09-14 06:50:35.0,0.5,1
433,,,buy,3092,429,,,sell,3077,2016-09-14 06:50:46.0,0.5,1
438,,,buy,3182,441,,,sell,3168,2016-09-14 06:54:03.0,0.3,1
432,,,buy,3244,441,,,sell,3237,2016-09-14 06:57:02.0,0.05,1
429,,,buy,3245,441,,,sell,3237,2016-09-14 06:57:04.0,0.05,2

Market [184_28First] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
439,,,buy,3078,432,,,sell,3064,2016-09-14 06:50:12.0,0.85,4
438,,,buy,3088,437,,,sell,3038,2016-09-14 06:50:34.0,0.9,1
437,,,sell,3138,439,,,buy,3078,2016-09-14 06:52:16.0,0.85,1
429,,,buy,3148,437,,,sell,3038,2016-09-14 06:52:41.0,0.9,1
437,,,sell,3161,439,,,buy,3078,2016-09-14 06:53:12.0,0.85,2
440,,,buy,3250,429,,,sell,3119,2016-09-14 06:57:24.0,0.95,1
428,,,buy,3251,429,,,sell,3119,2016-09-14 06:57:24.0,0.95,1

Market [184_28Second] Trades
marketTrader_ID,marketTrader_firstName,marketTrader_lastName,marketTrader_role,marketOrder_ID,limitTrader_ID,limitTrader_firstName,limitTrader_lastName,limitTrader_role,limitOrder_ID,time,price,units
430,,,sell,3036,439,,,buy,3029,2016-09-14 06:48:30.0,0.5,1
