account,email,owner,marketplace,session,period,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate
choice-moving,Surfer15@bmm,4853,321,6458,6458,634,NULL,1215819,1215819,1215819,1215820,LIMIT,BUY,1,50,2018-08-21T04:25:55.711,2018-08-21T04:26:08.518
choice-moving,Surfer15@bmm,4853,321,6458,6458,634,NULL,1215820,1215819,1215819,1215819,CANCEL,BUY,1,50,2018-08-21T04:26:08.512,2018-08-21T04:26:08.518
choice-moving,Surfer13@bmm,4851,321,6458,6458,634,NULL,1215821,1215821,1215821,1215854,LIMIT,BUY,1,52,2018-08-21T04:26:13.290,2018-08-21T04:27:56.777
choice-moving,Surfer13@bmm,4851,321,6458,6458,634,NULL,1215822,1215822,1215822,1215850,LIMIT,BUY,1,52,2018-08-21T04:26:14.705,2018-08-21T04:27:55.310
choice-moving,Surfer13@bmm,4851,321,6458,6458,634,NULL,1215823,1215823,1215823,1215875,LIMIT,BUY,1,40,2018-08-21T04:26:21.139,2018-08-21T04:28:24.090
choice-moving,Surfer13@bmm,4851,321,6458,6458,637,NULL,1215824,1215824,1215824,1215889,LIMIT,SELL,1,52,2018-08-21T04:26:30.567,2018-08-21T04:28:44.818
choice-moving,Surfer8@bmm,4846,321,6458,6458,634,NULL,1215825,1215825,1215825,NULL,LIMIT,BUY,1,53,2018-08-21T04:26:35.364,2018-08-21T04:26:35.368
choice-moving,Surfer4@bmm,4842,321,6458,6458,636,NULL,1215826,1215826,1215826,1215845,LIMIT,SELL,1,60,2018-08-21T04:26:40.503,2018-08-21T04:27:40.961
choice-moving,Surfer4@bmm,4842,321,6458,6458,634,NULL,1215827,1215827,1215827,1215926,LIMIT,BUY,1,75,2018-08-21T04:26:57.451,2018-08-21T04:29:41.676
choice-moving,Surfer3@bmm,4841,321,6458,6458,634,NULL,1215828,1215828,1215828,1215853,LIMIT,BUY,1,76,2018-08-21T04:27:01.897,2018-08-21T04:27:56.580
choice-moving,Surfer14@bmm,4852,321,6458,6458,636,NULL,1215829,1215829,1215829,1215860,LIMIT,SELL,1,52,2018-08-21T04:27:08.545,2018-08-21T04:28:07.438
choice-moving,Surfer7@bmm,4845,321,6458,6458,637,NULL,1215832,1215832,1215832,1215998,LIMIT,SELL,1,50,2018-08-21T04:27:14.402,2018-08-21T04:31:13.906
choice-moving,Surfer11@bmm,4849,321,6458,6458,634,NULL,1215834,1215834,1215834,1215922,LIMIT,BUY,2,51,2018-08-21T04:27:15.001,2018-08-21T04:29:36.696
choice-moving,Surfer4@bmm,4842,321,6458,6458,636,NULL,1215835,1215835,1215835,1215914,LIMIT,SELL,1,50,2018-08-21T04:27:16.751,2018-08-21T04:29:26.878
choice-moving,Surfer8@bmm,4846,321,6458,6458,636,NULL,1215836,1215836,1215836,NULL,LIMIT,SELL,1,26,2018-08-21T04:27:17.352,2018-08-21T04:27:17.356
choice-moving,Surfer3@bmm,4841,321,6458,6458,637,NULL,1215837,1215837,1215837,1216067,LIMIT,SELL,1,42,2018-08-21T04:27:18.306,2018-08-21T04:32:15.701
choice-moving,Surfer15@bmm,4853,321,6458,6458,637,NULL,1215838,1215838,1215838,1215983,LIMIT,SELL,1,41,2018-08-21T04:27:22.154,2018-08-21T04:31:04.215
choice-moving,Surfer3@bmm,4841,321,6458,6458,637,NULL,1215840,1215840,1215840,1215842,LIMIT,SELL,3,42,2018-08-21T04:27:24.781,2018-08-21T04:27:30.068
choice-moving,Surfer13@bmm,4851,321,6458,6458,637,NULL,1215841,1215841,1215841,NULL,LIMIT,SELL,1,32,2018-08-21T04:27:28.762,2018-08-21T04:27:28.766
choice-moving,Surfer3@bmm,4841,321,6458,6458,637,NULL,1215842,1215840,1215840,1215840,CANCEL,SELL,3,42,2018-08-21T04:27:30.054,2018-08-21T04:27:30.068
choice-moving,Surfer3@bmm,4841,321,6458,6458,637,NULL,1215843,1215843,1215843,1216066,LIMIT,SELL,3,30,2018-08-21T04:27:35.204,2018-08-21T04:32:14.606
choice-moving,Surfer13@bmm,4851,321,6458,6458,637,NULL,1215844,1215844,1215844,NULL,LIMIT,SELL,1,41,2018-08-21T04:27:36.408,2018-08-21T04:27:36.411
choice-moving,Surfer4@bmm,4842,321,6458,6458,636,NULL,1215845,1215826,1215826,1215826,CANCEL,SELL,1,60,2018-08-21T04:27:40.954,2018-08-21T04:27:40.961
choice-moving,Surfer4@bmm,4842,321,6458,6458,636,NULL,1215847,1215847,1215847,1215916,LIMIT,SELL,1,30,2018-08-21T04:27:49.081,2018-08-21T04:29:28.355
choice-moving,Surfer13@bmm,4851,321,6458,6458,634,NULL,1215848,1215848,1215848,1215877,LIMIT,BUY,1,38,2018-08-21T04:27:53.442,2018-08-21T04:28:25.822
choice-moving,Surfer13@bmm,4851,321,6458,6458,634,NULL,1215850,1215822,1215822,1215822,CANCEL,BUY,1,52,2018-08-21T04:27:55.303,2018-08-21T04:27:55.309
choice-moving,Surfer3@bmm,4841,321,6458,6458,635,NULL,1215851,1215851,1215851,1215864,LIMIT,SELL,4,80,2018-08-21T04:27:55.645,2018-08-21T04:28:12.174
choice-moving,Surfer2@bmm,4840,321,6458,6458,634,NULL,1215852,1215852,1215852,0,LIMIT,SELL,1,29,2018-08-21T04:27:56.569,2018-08-21T04:27:56.580
choice-moving,Surfer2@bmm,4840,321,6458,6458,634,NULL,1215853,1215852,1215852,1215828,LIMIT,SELL,1,76,2018-08-21T04:27:56.576,2018-08-21T04:27:56.580
choice-moving,Surfer13@bmm,4851,321,6458,6458,634,NULL,1215854,1215821,1215821,1215821,CANCEL,BUY,1,52,2018-08-21T04:27:56.770,2018-08-21T04:27:56.776
choice-moving,Surfer15@bmm,4853,321,6458,6458,635,NULL,1215855,1215855,1215855,1215861,LIMIT,SELL,1,50,2018-08-21T04:27:59.314,2018-08-21T04:28:10.846
choice-moving,Surfer13@bmm,4851,321,6458,6458,634,NULL,1215856,1215856,1215856,1215876,LIMIT,BUY,1,39,2018-08-21T04:28:01.281,2018-08-21T04:28:25.010
choice-moving,Surfer7@bmm,4845,321,6458,6458,635,NULL,1215857,1215857,1215857,1215976,LIMIT,SELL,1,65,2018-08-21T04:28:04.213,2018-08-21T04:30:51.550
choice-moving,Surfer14@bmm,4852,321,6458,6458,636,NULL,1215858,1215858,1215858,1216016,LIMIT,SELL,1,11,2018-08-21T04:28:06.149,2018-08-21T04:31:27.668
choice-moving,Surfer3@bmm,4841,321,6458,6458,634,NULL,1215859,1215859,1215859,1215890,LIMIT,BUY,1,76,2018-08-21T04:28:07.024,2018-08-21T04:28:45.940
choice-moving,Surfer14@bmm,4852,321,6458,6458,636,NULL,1215860,1215829,1215829,1215829,CANCEL,SELL,1,52,2018-08-21T04:28:07.432,2018-08-21T04:28:07.438
choice-moving,Surfer15@bmm,4853,321,6458,6458,635,NULL,1215861,1215855,1215855,1215855,CANCEL,SELL,1,50,2018-08-21T04:28:10.839,2018-08-21T04:28:10.846
choice-moving,Surfer8@bmm,4846,321,6458,6458,636,NULL,1215862,1215862,1215862,NULL,LIMIT,SELL,3,38,2018-08-21T04:28:11.086,2018-08-21T04:28:11.090
choice-moving,Surfer12@bmm,4850,321,6458,6458,636,NULL,1215863,1215863,1215863,NULL,LIMIT,SELL,1,22,2018-08-21T04:28:11.519,2018-08-21T04:28:11.522
choice-moving,Surfer3@bmm,4841,321,6458,6458,635,NULL,1215864,1215851,1215851,1215851,CANCEL,SELL,4,80,2018-08-21T04:28:12.165,2018-08-21T04:28:12.174
choice-moving,Surfer9@bmm,4847,321,6458,6458,634,NULL,1215865,1215865,1215865,1216024,LIMIT,BUY,1,76,2018-08-21T04:28:12.662,2018-08-21T04:31:38.323
choice-moving,Surfer12@bmm,4850,321,6458,6458,636,NULL,1215866,1215866,1215866,NULL,LIMIT,SELL,1,12,2018-08-21T04:28:15.673,2018-08-21T04:28:15.680
choice-moving,Surfer13@bmm,4851,321,6458,6458,634,NULL,1215867,1215867,1215867,NULL,LIMIT,BUY,1,79,2018-08-21T04:28:15.833,2018-08-21T04:28:15.840
choice-moving,Surfer3@bmm,4841,321,6458,6458,635,NULL,1215868,1215868,1215868,1215921,LIMIT,SELL,1,60,2018-08-21T04:28:16.728,2018-08-21T04:29:35.767
choice-moving,Surfer13@bmm,4851,321,6458,6458,634,NULL,1215869,1215869,1215869,1216106,LIMIT,BUY,1,79,2018-08-21T04:28:17.009,2018-08-21T04:32:57.453
choice-moving,Surfer13@bmm,4851,321,6458,6458,634,NULL,1215870,1215870,1215870,1216105,LIMIT,BUY,1,79,2018-08-21T04:28:17.248,2018-08-21T04:32:57.110
choice-moving,Surfer3@bmm,4841,321,6458,6458,635,NULL,1215871,1215871,1215871,1215874,LIMIT,SELL,3,60,2018-08-21T04:28:20.711,2018-08-21T04:28:23.678
choice-moving,Surfer15@bmm,4853,321,6458,6458,635,NULL,1215872,1215872,1215872,1215927,LIMIT,SELL,1,59,2018-08-21T04:28:20.724,2018-08-21T04:29:45.872
choice-moving,Surfer13@bmm,4851,321,6458,6458,634,NULL,1215873,1215873,1215873,1216108,LIMIT,BUY,1,80,2018-08-21T04:28:21.671,2018-08-21T04:32:58.682
choice-moving,Surfer3@bmm,4841,321,6458,6458,635,NULL,1215874,1215871,1215871,1215871,CANCEL,SELL,3,60,2018-08-21T04:28:23.670,2018-08-21T04:28:23.678
choice-moving,Surfer13@bmm,4851,321,6458,6458,634,NULL,1215875,1215823,1215823,1215823,CANCEL,BUY,1,40,2018-08-21T04:28:24.082,2018-08-21T04:28:24.090
choice-moving,Surfer13@bmm,4851,321,6458,6458,634,NULL,1215876,1215856,1215856,1215856,CANCEL,BUY,1,39,2018-08-21T04:28:25,2018-08-21T04:28:25.010
