Time_interval,Subject,Problem_ID,Session,No_buy_orders,Avg_buy_order,No_sell_orders,Avg_sell_order,Avg_mkt_price,Avg_best_bid,Avg_best_ask
15.0,278.0,2.0,4.0,0.0,,4.0,160.0,200.0,196.53846153846155,180.0
30.0,278.0,2.0,4.0,1.0,170.0,0.0,,,299.26666666666665,
45.0,278.0,2.0,4.0,1.0,460.0,0.0,,,482.2,
60.0,278.0,2.0,4.0,0.0,,0.0,,746.6666666666666,636.5333333333333,1090.0
75.0,278.0,2.0,4.0,1.0,1100.0,0.0,,1110.0,1056.4900662251655,
90.0,278.0,2.0,4.0,2.0,1070.0,0.0,,1065.0,1007.6,1089.4594594594594
105.0,278.0,2.0,4.0,0.0,,0.0,,1080.0,940.2666666666667,1099.6402877697842
120.0,278.0,2.0,4.0,0.0,,0.0,,1130.0,1020.0,1188.5106382978724
135.0,278.0,2.0,4.0,0.0,,0.0,,,1020.0,1215.0993377483444
150.0,278.0,2.0,4.0,0.0,,1.0,1190.0,,1055.4666666666667,1197.6
165.0,278.0,2.0,4.0,0.0,,0.0,,1060.0,1060.0,1190.0
180.0,278.0,2.0,4.0,0.0,,0.0,,1060.0,1058.2666666666667,1155.5333333333333
195.0,278.0,2.0,4.0,0.0,,1.0,1070.0,1070.0,1036.0,1074.2
210.0,278.0,2.0,4.0,0.0,,0.0,,1073.3333333333333,1020.0,1081.2582781456954
225.0,278.0,2.0,4.0,0.0,,1.0,1110.0,,1020.0,1127.0666666666666
240.0,278.0,2.0,4.0,0.0,,0.0,,,1020.0,1108.7333333333333
255.0,278.0,2.0,4.0,0.0,,0.0,,1060.0,1011.3333333333334,1095.2666666666667
270.0,278.0,2.0,4.0,0.0,,1.0,1070.0,1030.0,988.8079470198676,1067.7483443708609
285.0,278.0,2.0,4.0,0.0,,0.0,,,870.0,1070.0
300.0,278.0,2.0,4.0,0.0,,1.0,1070.0,1070.0,871.2666666666667,1072.0
315.0,278.0,2.0,4.0,0.0,,0.0,,1073.3333333333333,880.0,1077.0666666666666
330.0,278.0,2.0,4.0,1.0,1070.0,0.0,,1070.0,1013.0,1080.0
345.0,278.0,2.0,4.0,0.0,,0.0,,1075.0,909.4039735099337,1079.867549668874
360.0,278.0,2.0,4.0,0.0,,1.0,1090.0,1050.0,895.8666666666667,1084.6
375.0,278.0,2.0,4.0,0.0,,0.0,,1070.0,1008.4666666666667,1088.4
390.0,278.0,2.0,4.0,1.0,1080.0,0.0,,1080.0,1070.6,1086.7333333333333
405.0,278.0,2.0,4.0,0.0,,1.0,1080.0,1077.5,1001.8543046357615,1082.5165562913908
420.0,278.0,2.0,4.0,0.0,,0.0,,1080.0,1029.8666666666666,1089.4
435.0,278.0,2.0,4.0,0.0,,0.0,,,1070.0,1090.0
450.0,278.0,2.0,4.0,0.0,,0.0,,,1070.0,1090.0
465.0,278.0,2.0,4.0,0.0,,0.0,,,1070.0,1090.0
480.0,278.0,2.0,4.0,0.0,,0.0,,,1070.0,1090.0
495.0,278.0,2.0,4.0,0.0,,0.0,,1080.0,1070.0,1081.2
510.0,278.0,2.0,4.0,0.0,,0.0,,1080.0,1075.8,1087.5333333333333
525.0,278.0,2.0,4.0,0.0,,0.0,,1070.0,1070.0,1085.2666666666667
540.0,278.0,2.0,4.0,0.0,,1.0,1070.0,1070.0,1070.0,1081.9867549668875
555.0,278.0,2.0,4.0,0.0,,1.0,1070.0,1070.0,1070.0,1080.0
570.0,278.0,2.0,4.0,0.0,,1.0,1070.0,1063.3333333333333,1060.0666666666666,1080.0
585.0,278.0,2.0,4.0,0.0,,0.0,,,1060.0,1076.8666666666666
600.0,278.0,2.0,4.0,0.0,,0.0,,,1060.0,1070.0
615.0,278.0,2.0,4.0,0.0,,0.0,,,,
15.0,279.0,2.0,4.0,1.0,340.0,0.0,,200.0,196.53846153846155,180.0
30.0,279.0,2.0,4.0,0.0,,0.0,,,299.26666666666665,
45.0,279.0,2.0,4.0,2.0,545.0,0.0,,,482.2,
60.0,279.0,2.0,4.0,0.0,,0.0,,746.6666666666666,636.5333333333333,1090.0
75.0,279.0,2.0,4.0,1.0,1110.0,0.0,,1110.0,1056.4900662251655,
90.0,279.0,2.0,4.0,0.0,,0.0,,1065.0,1007.6,1089.4594594594594
105.0,279.0,2.0,4.0,0.0,,0.0,,1080.0,940.2666666666667,1099.6402877697842
120.0,279.0,2.0,4.0,0.0,,0.0,,1130.0,1020.0,1188.5106382978724
135.0,279.0,2.0,4.0,0.0,,0.0,,,1020.0,1215.0993377483444
150.0,279.0,2.0,4.0,0.0,,0.0,,,1055.4666666666667,1197.6
