T_int,Subject,Problem,Session,No_bids,Avg_bid,No_asks,Avg_ask,Avg_pr,Avg_best_bid,Avg_best_ask,Activity,No_moves_in,No_moves_out,Run_max,Run_max_payoff,No_full_ks,Optimal_ks,
15,2258,1,2,0,NaN,0,NaN,NaN,602.65,NaN,10,0,0,NaN,NaN,80,1615
15,3258,1,3,1,290,0,NaN,NaN,290,NaN,27,9,2,1615,16.15,80,1615
15,4258,1,4,0,NaN,0,NaN,NaN,36.954,NaN,7,0,0,NaN,NaN,80,1615
15,5258,1,5,0,NaN,0,NaN,NaN,1190,1780,NaN,NaN,NaN,NaN,NaN,80,1615
15,2258,2,2,0,NaN,0,NaN,NaN,520,NaN,12,0,0,NaN,NaN,22,1160
15,3258,2,3,0,NaN,0,NaN,NaN,811.32,NaN,20,15,4,1160,11.6,22,1160
15,4258,2,4,0,NaN,0,NaN,200,196.54,180,9,3,1,1160,11.6,22,1160
15,5258,2,5,0,NaN,0,NaN,NaN,NaN,2330,8,6,1,1160,11.6,22,1160
15,2258,3,2,0,NaN,0,NaN,NaN,746.82,NaN,NaN,NaN,NaN,NaN,NaN,399,1220
15,3258,3,3,0,NaN,0,NaN,NaN,746.82,NaN,1,0,0,NaN,NaN,399,1220
15,4258,3,4,1,20,4,457.5,715,511.26,NaN,0,0,0,NaN,NaN,399,1220
15,5258,3,5,0,NaN,0,NaN,NaN,1220,NaN,NaN,NaN,NaN,NaN,NaN,399,1220
15,2258,4,2,0,NaN,0,NaN,NaN,NaN,1210,15,0,0,NaN,NaN,36,984
15,3258,4,3,0,NaN,0,NaN,NaN,500,NaN,10,5,1,870,4.05,36,984
15,4258,4,4,2,15,0,NaN,NaN,897.48,NaN,1,0,0,NaN,NaN,36,984
15,5258,4,5,0,NaN,0,NaN,NaN,178.54,NaN,15,0,0,NaN,NaN,36,984
15,2258,7,2,0,NaN,0,NaN,NaN,787.42,1070,NaN,NaN,NaN,NaN,NaN,301,1371
