Time_interval,Subject,Problem_ID,Session,Activity
15.0,269.0,2.0,4.0,7.0
30.0,269.0,2.0,4.0,5.0
45.0,269.0,2.0,4.0,2.0
60.0,269.0,2.0,4.0,2.0
75.0,269.0,2.0,4.0,1.0
90.0,269.0,2.0,4.0,3.0
105.0,269.0,2.0,4.0,9.0
120.0,269.0,2.0,4.0,7.0
135.0,269.0,2.0,4.0,3.0
150.0,269.0,2.0,4.0,3.0
165.0,269.0,2.0,4.0,0.0
180.0,269.0,2.0,4.0,4.0
195.0,269.0,2.0,4.0,7.0
210.0,269.0,2.0,4.0,2.0
225.0,269.0,2.0,4.0,0.0
240.0,269.0,2.0,4.0,0.0
255.0,269.0,2.0,4.0,0.0
270.0,269.0,2.0,4.0,0.0
285.0,269.0,2.0,4.0,0.0
300.0,269.0,2.0,4.0,0.0
315.0,269.0,2.0,4.0,0.0
330.0,269.0,2.0,4.0,0.0
345.0,269.0,2.0,4.0,0.0
360.0,269.0,2.0,4.0,0.0
375.0,269.0,2.0,4.0,0.0
390.0,269.0,2.0,4.0,0.0
405.0,269.0,2.0,4.0,0.0
420.0,269.0,2.0,4.0,0.0
435.0,269.0,2.0,4.0,0.0
450.0,269.0,2.0,4.0,0.0
465.0,269.0,2.0,4.0,0.0
480.0,269.0,2.0,4.0,0.0
495.0,269.0,2.0,4.0,0.0
510.0,269.0,2.0,4.0,0.0
525.0,269.0,2.0,4.0,0.0
540.0,269.0,2.0,4.0,0.0
555.0,269.0,2.0,4.0,0.0
570.0,269.0,2.0,4.0,0.0
585.0,269.0,2.0,4.0,0.0
600.0,269.0,2.0,4.0,0.0
615.0,269.0,2.0,4.0,0.0
630.0,269.0,2.0,4.0,0.0
645.0,269.0,2.0,4.0,0.0
660.0,269.0,2.0,4.0,0.0
675.0,269.0,2.0,4.0,0.0
690.0,269.0,2.0,4.0,0.0
705.0,269.0,2.0,4.0,0.0
15.0,279.0,2.0,4.0,9.0
30.0,279.0,2.0,4.0,12.0
45.0,279.0,2.0,4.0,20.0
60.0,279.0,2.0,4.0,10.0
75.0,279.0,2.0,4.0,0.0
90.0,279.0,2.0,4.0,3.0
105.0,279.0,2.0,4.0,3.0
120.0,279.0,2.0,4.0,1.0
135.0,279.0,2.0,4.0,12.0
150.0,279.0,2.0,4.0,11.0
165.0,279.0,2.0,4.0,9.0
180.0,279.0,2.0,4.0,4.0
195.0,279.0,2.0,4.0,12.0
210.0,279.0,2.0,4.0,8.0
225.0,279.0,2.0,4.0,8.0
240.0,279.0,2.0,4.0,10.0
255.0,279.0,2.0,4.0,5.0
270.0,279.0,2.0,4.0,0.0
285.0,279.0,2.0,4.0,0.0
300.0,279.0,2.0,4.0,0.0
315.0,279.0,2.0,4.0,0.0
330.0,279.0,2.0,4.0,0.0
345.0,279.0,2.0,4.0,0.0
360.0,279.0,2.0,4.0,0.0
375.0,279.0,2.0,4.0,0.0
390.0,279.0,2.0,4.0,0.0
405.0,279.0,2.0,4.0,0.0
420.0,279.0,2.0,4.0,0.0
435.0,279.0,2.0,4.0,0.0
450.0,279.0,2.0,4.0,0.0
465.0,279.0,2.0,4.0,0.0
480.0,279.0,2.0,4.0,0.0
495.0,279.0,2.0,4.0,0.0
510.0,279.0,2.0,4.0,0.0
525.0,279.0,2.0,4.0,0.0
540.0,279.0,2.0,4.0,0.0
555.0,279.0,2.0,4.0,0.0
570.0,279.0,2.0,4.0,0.0
585.0,279.0,2.0,4.0,0.0
600.0,279.0,2.0,4.0,0.0
615.0,279.0,2.0,4.0,0.0
630.0,279.0,2.0,4.0,0.0
645.0,279.0,2.0,4.0,0.0
660.0,279.0,2.0,4.0,0.0
675.0,279.0,2.0,4.0,0.0
690.0,279.0,2.0,4.0,0.0
705.0,279.0,2.0,4.0,0.0
15.0,278.0,2.0,4.0,1.0
30.0,278.0,2.0,4.0,0.0
45.0,278.0,2.0,4.0,1.0
60.0,278.0,2.0,4.0,0.0
75.0,278.0,2.0,4.0,1.0
90.0,278.0,2.0,4.0,9.0
105.0,278.0,2.0,4.0,0.0
120.0,278.0,2.0,4.0,2.0
