Time_interval,Subject,Problem_ID,Session,Run_max,Run_max_payoff
15.0,268.0,2.0,2.0,NaN,NaN
30.0,268.0,2.0,2.0,NaN,NaN
45.0,268.0,2.0,2.0,NaN,NaN
60.0,268.0,2.0,2.0,NaN,NaN
75.0,268.0,2.0,2.0,NaN,NaN
90.0,268.0,2.0,2.0,NaN,NaN
105.0,268.0,2.0,2.0,NaN,NaN
120.0,268.0,2.0,2.0,NaN,NaN
135.0,268.0,2.0,2.0,NaN,NaN
150.0,268.0,2.0,2.0,NaN,NaN
165.0,268.0,2.0,2.0,NaN,NaN
180.0,268.0,2.0,2.0,NaN,NaN
195.0,268.0,2.0,2.0,NaN,NaN
210.0,268.0,2.0,2.0,NaN,NaN
225.0,268.0,2.0,2.0,NaN,NaN
240.0,268.0,2.0,2.0,NaN,NaN
255.0,268.0,2.0,2.0,NaN,NaN
270.0,268.0,2.0,2.0,NaN,NaN
285.0,268.0,2.0,2.0,NaN,NaN
300.0,268.0,2.0,2.0,NaN,NaN
315.0,268.0,2.0,2.0,NaN,NaN
330.0,268.0,2.0,2.0,NaN,NaN
345.0,268.0,2.0,2.0,NaN,NaN
360.0,268.0,2.0,2.0,NaN,NaN
375.0,268.0,2.0,2.0,NaN,NaN
390.0,268.0,2.0,2.0,NaN,NaN
405.0,268.0,2.0,2.0,NaN,NaN
420.0,268.0,2.0,2.0,NaN,NaN
435.0,268.0,2.0,2.0,NaN,NaN
450.0,268.0,2.0,2.0,NaN,NaN
465.0,268.0,2.0,2.0,NaN,NaN
480.0,268.0,2.0,2.0,NaN,NaN
495.0,268.0,2.0,2.0,NaN,NaN
510.0,268.0,2.0,2.0,NaN,NaN
525.0,268.0,2.0,2.0,NaN,NaN
540.0,268.0,2.0,2.0,NaN,NaN
555.0,268.0,2.0,2.0,NaN,NaN
570.0,268.0,2.0,2.0,NaN,NaN
585.0,268.0,2.0,2.0,NaN,NaN
600.0,268.0,2.0,2.0,NaN,NaN
615.0,268.0,2.0,2.0,NaN,NaN
630.0,268.0,2.0,2.0,NaN,NaN
645.0,268.0,2.0,2.0,NaN,NaN
660.0,268.0,2.0,2.0,NaN,NaN
675.0,268.0,2.0,2.0,NaN,NaN
690.0,268.0,2.0,2.0,NaN,NaN
705.0,268.0,2.0,2.0,NaN,NaN
15.0,269.0,2.0,2.0,NaN,NaN
30.0,269.0,2.0,2.0,450.0,0.0
45.0,269.0,2.0,2.0,1160.0,11.6
60.0,269.0,2.0,2.0,1160.0,11.6
75.0,269.0,2.0,2.0,1160.0,11.6
90.0,269.0,2.0,2.0,1160.0,11.6
105.0,269.0,2.0,2.0,1160.0,11.6
120.0,269.0,2.0,2.0,1160.0,11.6
135.0,269.0,2.0,2.0,1160.0,11.6
150.0,269.0,2.0,2.0,1160.0,11.6
165.0,269.0,2.0,2.0,1160.0,11.6
180.0,269.0,2.0,2.0,1160.0,11.6
195.0,269.0,2.0,2.0,1160.0,11.6
210.0,269.0,2.0,2.0,1160.0,11.6
225.0,269.0,2.0,2.0,1160.0,11.6
240.0,269.0,2.0,2.0,1160.0,11.6
255.0,269.0,2.0,2.0,1160.0,11.6
270.0,269.0,2.0,2.0,1160.0,11.6
285.0,269.0,2.0,2.0,1160.0,11.6
300.0,269.0,2.0,2.0,1160.0,11.6
315.0,269.0,2.0,2.0,1160.0,11.6
330.0,269.0,2.0,2.0,1160.0,11.6
345.0,269.0,2.0,2.0,1160.0,11.6
360.0,269.0,2.0,2.0,1160.0,11.6
375.0,269.0,2.0,2.0,1160.0,11.6
390.0,269.0,2.0,2.0,1160.0,11.6
405.0,269.0,2.0,2.0,1160.0,11.6
420.0,269.0,2.0,2.0,1160.0,11.6
435.0,269.0,2.0,2.0,1160.0,11.6
450.0,269.0,2.0,2.0,1160.0,11.6
465.0,269.0,2.0,2.0,1160.0,11.6
480.0,269.0,2.0,2.0,1160.0,11.6
495.0,269.0,2.0,2.0,1160.0,11.6
510.0,269.0,2.0,2.0,1160.0,11.6
525.0,269.0,2.0,2.0,1160.0,11.6
540.0,269.0,2.0,2.0,1160.0,11.6
555.0,269.0,2.0,2.0,1160.0,11.6
570.0,269.0,2.0,2.0,1160.0,11.6
585.0,269.0,2.0,2.0,1160.0,11.6
600.0,269.0,2.0,2.0,1160.0,11.6
615.0,269.0,2.0,2.0,1160.0,11.6
630.0,269.0,2.0,2.0,1160.0,11.6
645.0,269.0,2.0,2.0,1160.0,11.6
660.0,269.0,2.0,2.0,1160.0,11.6
675.0,269.0,2.0,2.0,1160.0,11.6
690.0,269.0,2.0,2.0,1160.0,11.6
705.0,269.0,2.0,2.0,1160.0,11.6
15.0,278.0,2.0,2.0,NaN,NaN
30.0,278.0,2.0,2.0,NaN,NaN
45.0,278.0,2.0,2.0,NaN,NaN
60.0,278.0,2.0,2.0,NaN,NaN
75.0,278.0,2.0,2.0,NaN,NaN
90.0,278.0,2.0,2.0,NaN,NaN
105.0,278.0,2.0,2.0,NaN,NaN
120.0,278.0,2.0,2.0,NaN,NaN
135.0,278.0,2.0,2.0,NaN,NaN
150.0,278.0,2.0,2.0,NaN,NaN
165.0,278.0,2.0,2.0,NaN,NaN
180.0,278.0,2.0,2.0,NaN,NaN
195.0,278.0,2.0,2.0,NaN,NaN
210.0,278.0,2.0,2.0,NaN,NaN
225.0,278.0,2.0,2.0,NaN,NaN
240.0,278.0,2.0,2.0,NaN,NaN
255.0,278.0,2.0,2.0,NaN,NaN
270.0,278.0,2.0,2.0,NaN,NaN
285.0,278.0,2.0,2.0,NaN,NaN
300.0,278.0,2.0,2.0,NaN,NaN
315.0,278.0,2.0,2.0,NaN,NaN
330.0,278.0,2.0,2.0,NaN,NaN
345.0,278.0,2.0,2.0,NaN,NaN
360.0,278.0,2.0,2.0,NaN,NaN
375.0,278.0,2.0,2.0,NaN,NaN
390.0,278.0,2.0,2.0,NaN,NaN
405.0,278.0,2.0,2.0,NaN,NaN
420.0,278.0,2.0,2.0,NaN,NaN
435.0,278.0,2.0,2.0,NaN,NaN
450.0,278.0,2.0,2.0,NaN,NaN
465.0,278.0,2.0,2.0,NaN,NaN
480.0,278.0,2.0,2.0,NaN,NaN
495.0,278.0,2.0,2.0,NaN,NaN
510.0,278.0,2.0,2.0,NaN,NaN
525.0,278.0,2.0,2.0,NaN,NaN
540.0,278.0,2.0,2.0,NaN,NaN
555.0,278.0,2.0,2.0,NaN,NaN
570.0,278.0,2.0,2.0,NaN,NaN
585.0,278.0,2.0,2.0,NaN,NaN
600.0,278.0,2.0,2.0,NaN,NaN
615.0,278.0,2.0,2.0,NaN,NaN
630.0,278.0,2.0,2.0,NaN,NaN
645.0,278.0,2.0,2.0,NaN,NaN
660.0,278.0,2.0,2.0,NaN,NaN
675.0,278.0,2.0,2.0,NaN,NaN
690.0,278.0,2.0,2.0,NaN,NaN
705.0,278.0,2.0,2.0,NaN,NaN
15.0,262.0,2.0,2.0,350.0,0.0
30.0,262.0,2.0,2.0,805.0,0.0
45.0,262.0,2.0,2.0,855.0,0.0
60.0,262.0,2.0,2.0,855.0,0.0
75.0,262.0,2.0,2.0,855.0,0.0
90.0,262.0,2.0,2.0,915.0,0.0
