submitted_problem_id,participant_id,problem_id,time_started,seconds_on_problem,completed,interventions_available,interventions_used
4178,269,11,14/8/18 14:02,64.9241,1,0,0
4179,272,11,14/8/18 14:03,25.2579,1,0,0
4181,272,11,14/8/18 14:04,30.1887,1,0,0
4188,269,11,14/8/18 14:06,102.409,1,0,0
4189,274,11,14/8/18 14:00,459.272,1,0,0
4191,268,11,14/8/18 14:10,5.81458,1,0,0
4192,269,11,14/8/18 14:08,122.586,1,0,0
4193,269,11,14/8/18 14:10,2.79932,1,0,0
4194,269,11,14/8/18 14:10,0.931763,1,0,0
4195,269,11,14/8/18 14:10,0.831787,1,0,0
4197,269,11,14/8/18 14:10,23.6742,1,0,0
4199,264,11,14/8/18 14:12,4.18298,1,0,0
4201,269,11,14/8/18 14:11,83.6495,1,0,0
4202,269,11,14/8/18 14:13,20.0411,1,0,0
4204,269,11,14/8/18 14:13,32.0881,1,0,0
4206,269,11,14/8/18 14:14,23.4562,1,0,0
4207,269,11,14/8/18 14:14,16.0101,1,0,0
4208,274,11,14/8/18 14:13,70.4727,1,0,0
4209,267,11,14/8/18 14:00,900,0,0,0
4210,267,12,14/8/18 14:17,70.7886,1,0,0
4211,271,12,14/8/18 14:17,66.5417,1,0,0
4212,260,12,14/8/18 14:17,83.3176,1,0,0
4213,263,12,14/8/18 14:17,134.531,1,0,0
4214,275,12,14/8/18 14:17,185.928,1,0,0
4215,270,12,14/8/18 14:17,203.988,1,0,0
4216,258,12,14/8/18 14:17,225.761,1,0,0
4217,269,12,14/8/18 14:17,260.466,1,0,0
4218,272,12,14/8/18 14:17,327.79,1,0,0
4219,262,12,14/8/18 14:17,424.07,1,0,0
4220,261,12,14/8/18 14:17,433.548,1,0,0
4221,274,12,14/8/18 14:17,431.932,1,0,0
4222,268,12,14/8/18 14:17,436.347,1,0,0
4223,273,12,14/8/18 14:17,437.813,1,0,0
4224,259,12,14/8/18 14:17,440.846,1,0,0
4225,276,12,14/8/18 14:17,445.329,1,0,0
4226,269,12,14/8/18 14:22,181.298,1,0,0
4227,264,12,14/8/18 14:17,432.732,1,0,0
4228,271,12,14/8/18 14:19,309.312,1,0,0
4229,265,12,14/8/18 14:17,450.724,1,0,0
4230,266,12,14/8/18 14:15,576.012,1,0,0
4231,272,12,14/8/18 14:23,144.127,1,0,0
4232,275,12,14/8/18 14:25,3.9151,1,0,0
4233,267,13,14/8/18 14:26,70.842,1,0,0
4234,271,13,14/8/18 14:27,107.276,1,0,0
4235,270,13,14/8/18 14:27,153.742,1,0,0
4236,258,13,14/8/18 14:27,213.084,1,0,0
4237,275,13,14/8/18 14:27,269.43,1,0,0
4238,258,13,14/8/18 14:30,79.1686,1,0,0
4239,264,13,14/8/18 14:27,331.055,1,0,0
4240,263,13,14/8/18 14:27,416.206,1,0,0
4241,262,13,14/8/18 14:27,424.386,1,0,0
4242,272,13,14/8/18 14:27,427.801,1,0,0
4243,260,13,14/8/18 14:27,429.783,1,0,0
4244,273,13,14/8/18 14:27,435.197,1,0,0
4245,259,13,14/8/18 14:27,436.081,1,0,0
4246,268,13,14/8/18 14:27,437.547,1,0,0
4247,276,13,14/8/18 14:26,495.857,1,0,0
4248,261,13,14/8/18 14:27,443.78,1,0,0
4249,266,13,14/8/18 14:27,446.793,1,0,0
4250,274,13,14/8/18 14:26,463.637,1,0,0
4251,269,13,14/8/18 14:27,448.776,1,0,0
4252,265,13,14/8/18 14:27,463.552,1,0,0
4253,267,14,14/8/18 14:36,20.593,1,0,0
4254,269,14,14/8/18 14:36,43.7153,1,0,0
4255,271,14,14/8/18 14:36,209.369,1,0,0
4256,258,14,14/8/18 14:36,274.011,1,0,0
4257,263,14,14/8/18 14:36,315.145,1,0,0
4258,270,14,14/8/18 14:36,322.175,1,0,0
4259,258,14,14/8/18 14:40,121.352,1,0,0
4260,261,14,14/8/18 14:36,461.205,1,0,0
4261,260,14,14/8/18 14:36,473.135,1,0,0
4262,259,14,14/8/18 14:36,476.966,1,0,0
4263,274,14,14/8/18 14:36,477.431,1,0,0
4264,273,14,14/8/18 14:36,477.099,1,0,0
4265,262,14,14/8/18 14:36,479.147,1,0,0
4266,275,14,14/8/18 14:36,481.964,1,0,0
4267,272,14,14/8/18 14:36,483.13,1,0,0
4268,268,14,14/8/18 14:36,486.459,1,0,0
4269,265,14,14/8/18 14:36,484.879,1,0,0
4270,276,14,14/8/18 14:35,513.269,1,0,0
4271,266,14,14/8/18 14:36,484.829,1,0,0
4272,264,14,14/8/18 14:36,483.644,1,0,0
4273,269,14,14/8/18 14:41,188.61,1,0,0
4274,269,14,14/8/18 14:44,1.13373,1,0,0
4275,269,14,14/8/18 14:44,0.799805,1,0,0
4276,269,14,14/8/18 14:44,0.799805,1,0,0
4277,271,15,14/8/18 14:45,111.575,1,0,0
