"submitted_problem_id","participant_id","problem_id","time_started","seconds_on_problem","completed","interventions_available","interventions_used"
"6013","282","11","2018-08-30 12:53:04","900","0","0","0"
"6014","282","11","2018-08-30 13:14:05","900","0","0","0"
"6015","272","11","2018-08-30 13:33:56","53.5789","1","0","0"
"6016","266","11","2018-08-30 13:33:18","200.973","1","0","0"
"6017","271","11","2018-08-30 13:34:42","147.744","1","0","0"
"6018","276","11","2018-08-30 13:34:32","170.266","1","0","0"
"6019","272","11","2018-08-30 13:37:03","36.2672","1","0","0"
"6020","268","11","2018-08-30 13:33:47","390.883","1","0","0"
"6021","282","11","2018-08-30 13:33:08","433.72","1","0","0"
"6022","282","11","2018-08-30 13:40:29","11.9311","1","0","0"
"6023","261","11","2018-08-30 13:33:08","900","0","0","0"
"6024","260","11","2018-08-30 13:33:11","900","0","0","0"
"6025","270","11","2018-08-30 13:33:16","900","0","0","0"
"6026","263","11","2018-08-30 13:33:25","900","0","0","0"
"6027","267","11","2018-08-30 13:33:26","900","0","0","0"
"6028","262","11","2018-08-30 13:33:51","900","0","0","0"
"6029","273","11","2018-08-30 13:33:24","900","0","0","0"
"6030","274","11","2018-08-30 13:34:41","900","0","0","0"
"6031","275","14","2018-08-30 13:35:12","900","0","0","0"
"6032","259","11","2018-08-30 13:35:13","900","0","0","0"
"6033","264","11","2018-08-30 13:35:27","900","0","0","0"
"6034","269","11","2018-08-30 13:35:28","900","0","0","0"
"6035","265","11","2018-08-30 13:35:37","900","0","0","0"
"6036","270","11","2018-08-30 13:48:23","189.923","1","0","0"
"6037","258","11","2018-08-30 13:36:33","900","0","0","0"
"6038","272","11","2018-08-30 13:51:39","18.6934","1","0","0"
"6039","266","11","2018-08-30 13:37:40","900","0","0","0"
"6040","273","11","2018-08-30 13:49:08","351.998","1","0","0"
"6041","268","11","2018-08-30 13:40:32","900","0","0","0"
"6042","276","11","2018-08-30 13:40:37","900","0","0","0"
"6043","282","11","2018-08-30 13:40:42","900","0","0","0"
"6044","275","13","2018-08-30 13:55:12","102.611","1","0","0"
"6045","282","11","2018-08-30 13:58:35","1.14972","1","0","0"
"6046","282","11","2018-08-30 13:58:37","1.3197","1","0","0"
"6047","273","11","2018-08-30 13:59:05","135.797","1","0","0"
"6048","261","11","2018-08-30 14:00:46","41.118","1","0","0"
"6049","276","11","2018-08-30 13:55:49","400.596","1","0","0"
"6050","270","11","2018-08-30 13:52:23","683.898","1","0","0"
"6051","265","11","2018-08-30 13:51:08","900","0","0","0"
"6052","264","11","2018-08-30 13:52:15","900","0","0","0"
"6053","263","11","2018-08-30 13:57:18","618.612","1","0","0"
"6054","266","11","2018-08-30 13:56:39","719.437","1","0","0"
"6055","258","11","2018-08-30 13:55:57","764.044","1","0","0"
"6056","266","11","2018-08-30 14:08:42","52.9971","1","0","0"
"6057","269","11","2018-08-30 14:02:55","406.808","1","0","0"
"6058","271","11","2018-08-30 13:56:52","771.047","1","0","0"
"6059","270","11","2018-08-30 14:03:51","377.676","1","0","0"
"6060","267","11","2018-08-30 13:56:37","900","0","0","0"
"6062","259","11","2018-08-30 13:57:11","900","0","0","0"
"6063","270","11","2018-08-30 14:10:10","135.794","1","0","0"
"6064","266","11","2018-08-30 14:09:37","197.79","1","0","0"
"6065","264","11","2018-08-30 14:07:33","360.094","1","0","0"
"6066","263","11","2018-08-30 14:07:40","354.813","1","0","0"
"6067","282","11","2018-08-30 14:03:29","617.15","1","0","0"
"6068","268","11","2018-08-30 13:59:11","900","0","0","0"
"6069","260","11","2018-08-30 13:59:41","900","0","0","0"
"6070","272","11","2018-08-30 14:00:41","900","0","0","0"
"6071","260","11","2018-08-30 14:16:36","39.8502","1","0","0"
"6072","276","11","2018-08-30 14:02:34","900","0","0","0"
"6073","258","11","2018-08-30 14:08:43","565.981","1","0","0"
"6074","258","11","2018-08-30 14:18:12","21.5526","1","0","0"
"6075","269","11","2018-08-30 14:09:48","570.563","1","0","0"
"6076","269","12","2018-08-30 14:21:32","69.207","1","0","0"
"6077","261","12","2018-08-30 14:21:30","194.908","1","0","0"
"6078","263","12","2018-08-30 14:21:29","458.374","1","0","0"
"6079","272","12","2018-08-30 14:21:29","460.522","1","0","0"
"6080","267","12","2018-08-30 14:21:27","463.673","1","0","0"
"6081","265","12","2018-08-30 14:21:29","460.837","1","0","0"
"6082","270","12","2018-08-30 14:21:32","459.817","1","0","0"
"6083","258","12","2018-08-30 14:21:28","467.804","1","0","0"
"6084","268","12","2018-08-30 14:21:30","466.552","1","0","0"
"6085","275","12","2018-08-30 14:21:25","472.701","1","0","0"
"6086","264","12","2018-08-30 14:21:30","468.102","1","0","0"
"6087","266","12","2018-08-30 14:21:28","470.601","1","0","0"
"6088","274","12","2018-08-30 14:21:30","468.57","1","0","0"
"6089","271","12","2018-08-30 14:22:08","431.118","1","0","0"
"6090","273","12","2018-08-30 14:21:29","469.935","1","0","0"
"6091","260","12","2018-08-30 14:21:29","471.851","1","0","0"
"6092","262","12","2018-08-30 14:21:30","472.134","1","0","0"
"6093","276","12","2018-08-30 14:21:29","474.732","1","0","0"
