"submitted_item_move_id","submitted_item_id","move_type","in_knapsack","pos_x","pos_y","time_into_problem"
"277947","66258","1","0","599.5","405.713","5.96454"
"277948","66258","3","0","651.5","425.713","6.24847"
"277961","66258","1","0","651.5","425.713","34.1696"
"277962","66258","3","0","538.5","377.713","35.5533"
"277944","66259","1","0","551.622","384.978","5.24872"
"277945","66259","2","0","458.622","278.978","5.54865"
"277946","66259","3","0","496.552","268.219","5.61462"
"277953","66259","1","0","496.552","268.219","22.4425"
"277954","66259","3","1","229.552","328.219","22.7424"
"277940","66260","1","0","753.799","52.4601","3.89905"
"277941","66260","3","0","829.799","35.4601","4.14899"
"277951","66260","1","0","829.799","35.4601","16.326"
"277952","66260","3","1","150.799","216.46","16.7599"
"277942","66261","1","0","660.082","111.53","4.44891"
"277943","66261","3","0","725.082","184.53","4.71484"
"277955","66262","1","0","607.448","265.864","24.358"
"277956","66262","3","1","357.448","199.864","24.8399"
"277934","66263","1","0","553.571","301.203","1.29968"
"277935","66263","3","0","522.571","94.2032","1.73358"
"277957","66263","1","0","522.571","94.2032","26.9394"
"277958","66263","3","0","572.571","241.203","28.2391"
"277938","66264","1","0","713.28","317.259","3.13123"
"277939","66264","3","0","768.28","332.259","3.38117"
"277949","66265","1","0","556.801","449.532","6.5484"
"277950","66265","3","0","524.801","436.532","6.84631"
"277963","66265","1","0","524.801","436.532","36.3191"
"277964","66265","3","0","699.801","448.532","38.1846"
"277936","66266","1","0","678.464","309.083","2.21545"
"277937","66266","3","0","790.464","407.083","2.63135"
"277959","66266","1","0","790.464","407.083","32.688"
"277960","66266","3","0","782.464","438.083","33.8037"
"277965","66266","1","0","782.464","438.083","38.7685"
"277966","66266","3","1","194.464","115.084","39.8342"
"277975","66267","1","0","713.91","310.353","8.04803"
"277976","66267","3","0","639.91","392.353","8.74786"
"277985","66267","1","0","639.91","392.353","14.6284"
"277986","66267","3","0","672.91","384.353","15.6462"
"277987","66267","1","0","672.91","384.353","16.7939"
"277988","66267","3","0","654.91","390.353","17.3118"
"277983","66268","1","0","780.643","292.77","13.6127"
"277984","66268","3","0","802.643","269.77","14.0126"
"278006","66268","1","0","802.643","269.77","43.5353"
"278007","66268","3","0","708.643","259.77","44.2491"
"277981","66269","1","0","781.821","347.957","12.4949"
"277982","66269","3","0","795.821","400.957","12.8289"
"277993","66269","1","0","795.821","400.957","32.3721"
"277994","66269","2","1","258.821","150.957","33.1219"
"277995","66269","1","1","278.317","154.292","33.1379"
"277996","66269","3","0","494.463","191.266","33.4038"
"277997","66269","3","0","494.463","191.266","33.5718"
"278000","66269","1","0","494.463","191.266","35.4533"
"278001","66269","3","1","270.463","162.266","36.2531"
"277973","66270","1","0","613.678","286.036","7.23224"
"277974","66270","3","0","501.678","253.036","7.46417"
"277971","66271","1","0","717.068","372.891","5.03278"
"277972","66271","3","0","751.068","182.891","5.56464"
"277979","66271","1","0","751.068","182.891","11.1793"
