# initial holdings -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,cash,Share,,,,,,,,,,,
roused-nipper,Surfer21@bmm,4896,342,6224,6224,674,NULL,1008377,1008377,1008377,1008389,LIMIT,BUY,1,1010,2018-08-14T00:43:50.582,2018-08-14T00:44:31.391
roused-nipper,Surfer7@bmm,4882,342,6224,6224,674,NULL,1008378,1008378,1008378,1008509,LIMIT,SELL,1,1350,2018-08-14T00:44:03.039,2018-08-14T00:48:12.317
roused-nipper,Surfer8@bmm,4883,342,6224,6224,674,NULL,1008379,1008379,1008379,1008415,LIMIT,BUY,1,1050,2018-08-14T00:44:07.374,2018-08-14T00:45:46.371
roused-nipper,Surfer7@bmm,4882,342,6224,6224,674,NULL,1008380,1008380,1008380,1008383,LIMIT,BUY,1,1100,2018-08-14T00:44:16.241,2018-08-14T00:44:21.016
roused-nipper,Surfer8@bmm,4883,342,6224,6224,674,NULL,1008381,1008371,1008371,1008371,CANCEL,BUY,1,1000,2018-08-14T00:44:19.554,2018-08-14T00:44:19.558
roused-nipper,Surfer2@bmm,4877,342,6224,6224,674,NULL,1008382,1008382,1008382,0,LIMIT,SELL,1,680,2018-08-14T00:44:21.008,2018-08-14T00:44:21.016
roused-nipper,Surfer2@bmm,4877,342,6224,6224,674,NULL,1008383,1008382,1008382,1008380,LIMIT,SELL,1,1100,2018-08-14T00:44:21.013,2018-08-14T00:44:21.016
roused-nipper,Surfer18@bmm,4893,342,6224,6224,674,NULL,1008384,1008384,1008384,1008458,LIMIT,BUY,1,1110,2018-08-14T00:44:22.894,2018-08-14T00:46:47.687
roused-nipper,Surfer8@bmm,4883,342,6224,6224,674,NULL,1008385,1008385,1008385,1008417,LIMIT,BUY,1,1100,2018-08-14T00:44:26.818,2018-08-14T00:45:47.748
roused-nipper,Surfer6@bmm,4881,342,6224,6224,674,NULL,1008386,1008372,1008372,1008372,CANCEL,BUY,1,530,2018-08-14T00:44:29.753,2018-08-14T00:44:29.757
roused-nipper,Surfer3@bmm,4878,342,6224,6224,674,NULL,1008387,1008387,1008387,1008395,LIMIT,BUY,1,1050,2018-08-14T00:44:30.246,2018-08-14T00:44:55.965
roused-nipper,Surfer18@bmm,4893,342,6224,6224,674,NULL,1008388,1008388,1008388,1008456,LIMIT,BUY,1,1110,2018-08-14T00:44:30.900,2018-08-14T00:46:46.988
roused-nipper,Surfer21@bmm,4896,342,6224,6224,674,NULL,1008389,1008377,1008377,1008377,CANCEL,BUY,1,1010,2018-08-14T00:44:31.387,2018-08-14T00:44:31.391
roused-nipper,Surfer18@bmm,4893,342,6224,6224,674,NULL,1008390,1008390,1008390,1008455,LIMIT,BUY,1,1110,2018-08-14T00:44:33.699,2018-08-14T00:46:46.131
roused-nipper,Surfer6@bmm,4881,342,6224,6224,674,NULL,1008391,1008391,1008391,1008403,LIMIT,BUY,1,1110,2018-08-14T00:44:42.681,2018-08-14T00:45:09.950
roused-nipper,Surfer21@bmm,4896,342,6224,6224,674,NULL,1008392,1008392,1008392,1008400,LIMIT,BUY,1,1150,2018-08-14T00:44:45.668,2018-08-14T00:45:02.824
roused-nipper,Surfer6@bmm,4881,342,6224,6224,674,NULL,1008393,1008393,1008393,1008419,LIMIT,SELL,1,1290,2018-08-14T00:44:48.127,2018-08-14T00:45:53.840
roused-nipper,Surfer3@bmm,4878,342,6224,6224,674,NULL,1008394,1008394,1008394,1008418,LIMIT,SELL,1,1350,2018-08-14T00:44:49.739,2018-08-14T00:45:50.682
roused-nipper,Surfer3@bmm,4878,342,6224,6224,674,NULL,1008395,1008387,1008387,1008387,CANCEL,BUY,1,1050,2018-08-14T00:44:55.933,2018-08-14T00:44:55.965
roused-nipper,Surfer8@bmm,4883,342,6224,6224,674,NULL,1008396,1008373,1008373,1008373,CANCEL,BUY,1,1010,2018-08-14T00:45:00.035,2018-08-14T00:45:00.040
roused-nipper,Surfer18@bmm,4893,342,6224,6224,674,NULL,1008397,1008397,1008397,1008618,LIMIT,SELL,1,1280,2018-08-14T00:45:01.880,2018-08-14T00:51:41.476
roused-nipper,Surfer12@bmm,4887,342,6224,6224,674,NULL,1008398,1008398,1008398,1008443,LIMIT,SELL,1,1280,2018-08-14T00:45:02.179,2018-08-14T00:46:38.520
roused-nipper,Surfer2@bmm,4877,342,6224,6224,674,NULL,1008399,1008399,1008399,0,LIMIT,SELL,1,680,2018-08-14T00:45:02.817,2018-08-14T00:45:02.824
roused-nipper,Surfer2@bmm,4877,342,6224,6224,674,NULL,1008400,1008399,1008399,1008392,LIMIT,SELL,1,1150,2018-08-14T00:45:02.822,2018-08-14T00:45:02.824
roused-nipper,Surfer18@bmm,4893,342,6224,6224,674,NULL,1008401,1008401,1008401,1008616,LIMIT,SELL,1,1280,2018-08-14T00:45:03.026,2018-08-14T00:51:40.573
roused-nipper,Surfer3@bmm,4878,342,6224,6224,674,NULL,1008402,1008402,1008402,1008423,LIMIT,BUY,1,1120,2018-08-14T00:45:09.939,2018-08-14T00:45:58.739
roused-nipper,Surfer6@bmm,4881,342,6224,6224,674,NULL,1008403,1008391,1008391,1008391,CANCEL,BUY,1,1110,2018-08-14T00:45:09.943,2018-08-14T00:45:09.950
roused-nipper,Surfer8@bmm,4883,342,6224,6224,674,NULL,1008404,1008404,1008404,1008405,LIMIT,BUY,1,1120,2018-08-14T00:45:10.972,2018-08-14T00:45:16.765
roused-nipper,Surfer8@bmm,4883,342,6224,6224,674,NULL,1008405,1008404,1008404,1008404,CANCEL,BUY,1,1120,2018-08-14T00:45:16.761,2018-08-14T00:45:16.765
roused-nipper,Surfer8@bmm,4883,342,6224,6224,674,NULL,1008406,1008406,1008406,1008422,LIMIT,BUY,1,1130,2018-08-14T00:45:17.586,2018-08-14T00:45:58.492
roused-nipper,Surfer6@bmm,4881,342,6224,6224,674,NULL,1008407,1008407,1008407,1008482,LIMIT,BUY,1,1150,2018-08-14T00:45:19.536,2018-08-14T00:47:30.989
