Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008849,1008849,1008849,1008890,LIMIT,BUY,1,800,2018-08-14T01:08:07.781,2018-08-14T01:10:14.990
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008850,1008850,1008850,1008888,LIMIT,BUY,1,800,2018-08-14T01:08:09.195,2018-08-14T01:10:14.351
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008851,1008851,1008851,1008886,LIMIT,BUY,1,800,2018-08-14T01:08:09.439,2018-08-14T01:10:13.982
roused-nipper,Surfer14@bmm,4889,344,6226,6226,676,NULL,1008852,1008852,1008852,1008882,LIMIT,BUY,1,800,2018-08-14T01:08:09.748,2018-08-14T01:10:12.692
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008853,1008853,1008853,1008854,LIMIT,SELL,1,1070,2018-08-14T01:08:13.188,2018-08-14T01:08:25.061
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008854,1008853,1008853,1008853,CANCEL,SELL,1,1070,2018-08-14T01:08:25.057,2018-08-14T01:08:25.061
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008855,1008855,1008855,1008866,LIMIT,SELL,1,1440,2018-08-14T01:08:35.562,2018-08-14T01:09:17.257
roused-nipper,Surfer21@bmm,4896,344,6226,6226,676,NULL,1008856,1008856,1008856,1008861,LIMIT,BUY,1,1200,2018-08-14T01:08:36.116,2018-08-14T01:08:51.465
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008857,1008857,1008857,1008910,LIMIT,BUY,1,1270,2018-08-14T01:08:44.200,2018-08-14T01:10:56.588
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008858,1008858,1008858,1008863,LIMIT,BUY,1,1220,2018-08-14T01:08:47.456,2018-08-14T01:09:07.795
roused-nipper,Surfer21@bmm,4896,344,6226,6226,676,NULL,1008859,1008859,1008859,1008878,LIMIT,BUY,1,1270,2018-08-14T01:08:50.592,2018-08-14T01:09:55.438
roused-nipper,Surfer6@bmm,4881,344,6226,6226,676,NULL,1008860,1008860,1008860,1008891,LIMIT,SELL,1,1430,2018-08-14T01:08:51.038,2018-08-14T01:10:15.844
roused-nipper,Surfer21@bmm,4896,344,6226,6226,676,NULL,1008861,1008856,1008856,1008856,CANCEL,BUY,1,1200,2018-08-14T01:08:51.461,2018-08-14T01:08:51.465
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008862,1008862,1008862,1008880,LIMIT,BUY,1,1270,2018-08-14T01:09:03.713,2018-08-14T01:10:06.686
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008863,1008858,1008858,1008858,CANCEL,BUY,1,1220,2018-08-14T01:09:07.791,2018-08-14T01:09:07.795
roused-nipper,Surfer2@bmm,4877,344,6226,6226,676,NULL,1008864,1008864,1008864,1008897,LIMIT,BUY,1,1280,2018-08-14T01:09:08.927,2018-08-14T01:10:35.554
roused-nipper,Surfer18@bmm,4893,344,6226,6226,676,NULL,1008865,1008865,1008865,1008943,LIMIT,SELL,1,1430,2018-08-14T01:09:17.132,2018-08-14T01:11:59.456
